"DATE","JULIAN","tempkt","days","SITE","kT","kelvin","celcius","site"
2011-08-02,578,38.2493118575297,45,"hver",38.2493118575297,303.40328654984,30.25328654984,"hver"
2011-09-16,623,38.8918139130956,37,"hver",38.8918139130956,298.390991784949,25.240991784949,"hver"
2011-10-23,660,38.9751719525914,21,"hver",38.9751719525914,297.752808889729,24.6028088897286,"hver"
2011-11-13,681,38.9255342604126,29,"hver",38.9255342604126,298.132502131038,24.9825021310384,"hver"
2011-12-12,710,39.3289327383671,60,"hver",39.3289327383671,295.074544815275,21.9245448152753,"hver"
2012-02-10,770,39.2502632853114,46,"hver",39.2502632853114,295.665963855768,22.5159638557685,"hver"
2012-03-27,816,38.4917383006476,55,"hver",38.4917383006476,301.492409493208,28.3424094932085,"hver"
2012-05-21,871,38.085196933948,29,"hver",38.085196933948,304.710697596523,31.5606975965232,"hver"
2012-06-19,900,37.9534931405596,37,"hver",37.9534931405596,305.768085242263,32.6180852422629,"hver"
2012-07-26,937,38.0571510040783,6,"hver",38.0571510040783,304.935251842699,31.7852518426994,"hver"
2012-08-01,943,37.8609414814348,NA,"hver",37.8609414814348,306.515540072737,33.3655400727366,"hver"
2011-07-01,546,41.0441867847656,32,"st14",41.0441867847656,282.7432539156,9.59325391559952,"st14"
2011-08-02,578,41.2983574639028,45,"st14",41.2983574639028,281.00311098299,7.85311098299002,"st14"
2011-09-16,623,41.9484899893221,56,"st14",41.9484899893221,276.648025442591,3.49802544259143,"st14"
2011-11-11,679,42.2016623398487,137,"st14",42.2016623398487,274.988383926439,1.83838392643889,"st14"
2012-03-27,816,42.2398813399955,27,"st14",42.2398813399955,274.739572122233,1.58957212223305,"st14"
2012-04-23,843,42.1945917798574,28,"st14",42.1945917798574,275.034463809748,1.88446380974761,"st14"
2012-05-21,871,41.5844615902843,29,"st14",41.5844615902843,279.069789100158,5.91978910015808,"st14"
2012-06-19,900,41.0274828342238,10,"st14",41.0274828342238,282.858370149966,9.70837014996641,"st14"
2012-06-29,910,40.8869809091889,1,"st14",40.8869809091889,283.83037015179,10.6803701517904,"st14"
2012-06-30,911,40.9134451337916,NA,"st14",40.9134451337916,283.646778898592,10.496778898592,"st14"
2011-08-02,578,39.7920269821338,45,"st6",39.7920269821338,291.640507055717,18.4905070557169,"st6"
2011-09-16,623,39.592156547337,37,"st6",39.592156547337,293.112776313894,19.9627763138943,"st6"
